Written on ->2/18/2016 9:07:40 AM	Broker 1 	 Retail 	 24 	 6
Written on ->2/18/2016 9:07:40 AM	Broker 4 	 Retail 	 24 	 6
Written on ->2/18/2016 9:07:40 AM	Broker 1 	 Retail 	 22 	 7
Written on ->2/18/2016 9:07:40 AM	Broker 4 	 Retail 	 22 	 7
Written on ->2/18/2016 9:07:40 AM	Broker 1 	 Retail 	 20 	 8
Written on ->2/18/2016 9:07:40 AM	Broker 4 	 Retail 	 20 	 8
Written on ->2/18/2016 9:07:40 AM	Broker 1 	 Retail 	 18 	 9
Written on ->2/18/2016 9:07:40 AM	Broker 4 	 Retail 	 18 	 9
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 18 	 10
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 18 	 10
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 16 	 11
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 16 	 11
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 16 	 12
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 16 	 12
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 14 	 13
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 14 	 13
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 12 	 14
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 12 	 14
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 10 	 15
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 10 	 15
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 10 	 16
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 10 	 16
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 10 	 17
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 10 	 17
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 8 	 18
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 8 	 18
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 8 	 19
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 8 	 19
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 6 	 20
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 6 	 20
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 6 	 21
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 6 	 21
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 7 	 22
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 7 	 22
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 7 	 23
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 7 	 23
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 5 	 24
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 5 	 24
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 3 	 25
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 3 	 25
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 3 	 26
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 3 	 26
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 4 	 27
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 4 	 27
Written on ->2/18/2016 9:07:41 AM	Broker 1 	 Retail 	 4 	 28
Written on ->2/18/2016 9:07:41 AM	Broker 4 	 Retail 	 4 	 28
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Banking 	 78 	 30
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Banking 	 78 	 30
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Banking 	 78 	 30
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Retail 	 2 	 29
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Retail 	 2 	 29
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Banking 	 79 	 31
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Banking 	 79 	 31
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Banking 	 79 	 31
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Retail 	 1 	 30
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Retail 	 1 	 30
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Technology 	 143 	 32
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Technology 	 143 	 32
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Technology 	 143 	 32
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Technology 	 143 	 32
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Banking 	 75 	 32
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Banking 	 75 	 32
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Banking 	 75 	 32
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Retail 	 -1 	 31
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Retail 	 -1 	 31
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Technology 	 143 	 33
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Technology 	 143 	 33
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Technology 	 143 	 33
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Technology 	 143 	 33
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Banking 	 75 	 33
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Banking 	 75 	 33
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Banking 	 75 	 33
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Retail 	 0 	 32
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Retail 	 0 	 32
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Technology 	 139 	 34
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Technology 	 139 	 34
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Technology 	 139 	 34
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Technology 	 139 	 34
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Banking 	 74 	 34
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Banking 	 74 	 34
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Retail 	 -1 	 33
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Banking 	 74 	 34
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Retail 	 -1 	 33
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Technology 	 139 	 35
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Technology 	 139 	 35
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Technology 	 139 	 35
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Technology 	 139 	 35
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Banking 	 74 	 35
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Retail 	 -1 	 34
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Banking 	 74 	 35
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Retail 	 -1 	 34
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Banking 	 74 	 35
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Technology 	 138 	 36
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Technology 	 138 	 36
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Technology 	 138 	 36
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Technology 	 138 	 36
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Retail 	 -2 	 35
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Retail 	 -2 	 35
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Banking 	 73 	 36
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Banking 	 73 	 36
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Banking 	 73 	 36
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Technology 	 142 	 37
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Technology 	 142 	 37
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Technology 	 142 	 37
Written on ->2/18/2016 9:07:42 AM	Broker 1 	 Retail 	 -1 	 36
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Technology 	 142 	 37
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Retail 	 -1 	 36
Written on ->2/18/2016 9:07:42 AM	Broker 2 	 Banking 	 75 	 37
Written on ->2/18/2016 9:07:42 AM	Broker 3 	 Banking 	 75 	 37
Written on ->2/18/2016 9:07:42 AM	Broker 4 	 Banking 	 75 	 37
